R	G	B	lambda
0.000787877	-0.000146831	0.015562832	390
0.000960308	-0.000190397	0.018727485	391
0.00116892	-0.000244702	0.022495733	392
0.001420541	-0.00031199	0.026970951	393
0.001723	-0.000394878	0.032271387	394
0.002085128	-0.000496379	0.038530773	395
0.002516953	-0.000619978	0.045903181	396
0.003029418	-0.000769586	0.054559559	397
0.003634377	-0.000949572	0.064690525	398
0.004344711	-0.001164824	0.076512161	399
0.005173627	-0.001420594	0.090258184	400
0.006134308	-0.001722426	0.106179866	401
0.007237939	-0.002075602	0.124519054	402
0.008492891	-0.002484872	0.145502474	403
0.009903745	-0.002954102	0.169333175	404
0.011469851	-0.00348575	0.196173217	405
0.013184713	-0.004080543	0.226138632	406
0.015036508	-0.004737485	0.259311267	407
0.017007635	-0.005453553	0.295731359	408
0.019071167	-0.006222371	0.335332288	409
0.021192937	-0.007034615	0.37796753	410
0.023331257	-0.007877704	0.423391636	411
0.025444813	-0.008738275	0.471386025	412
0.027489319	-0.009601019	0.52168486	413
0.029419134	-0.010449172	0.573986461	414
0.031187612	-0.011264611	0.627939312	415
0.032747093	-0.012027824	0.683115805	416
0.034039221	-0.012714289	0.738768105	417
0.035005418	-0.013298126	0.793972022	418
0.035593097	-0.013754498	0.847700218	419
0.03575682	-0.014060222	0.898788388	420
0.035478915	-0.014202111	0.946409392	421
0.034799663	-0.014189882	0.99101872	422
0.03377533	-0.014040288	1.033544256	423
0.032467701	-0.013772597	1.075277874	424
0.030930253	-0.013402157	1.117614565	425
0.029198682	-0.012935547	1.161817232	426
0.027253423	-0.012353128	1.207360314	427
0.02506789	-0.011629666	1.253223429	428
0.022623368	-0.010742519	1.298326803	429
0.019909141	-0.009673567	1.341359251	430
0.016935748	-0.008416929	1.38146403	431
0.013738318	-0.006981465	1.419131382	432
0.010350762	-0.005377572	1.45518397	433
0.006798418	-0.003611915	1.490657471	434
0.003092185	-0.001682967	1.526583031	435
-0.000773046	0.000420742	1.563529682	436
-0.004808533	0.002715445	1.600049473	437
-0.009013623	0.005211229	1.634059621	438
-0.013370697	0.007907486	1.663340678	439
-0.017841755	0.01078916	1.685531874	440
-0.022373968	0.013828544	1.698844805	441
-0.026936401	0.017007461	1.70406232	442
-0.031519189	0.020318386	1.702751906	443
-0.036129041	0.02376319	1.696581875	444
-0.040788512	0.027354039	1.68722482	445
-0.045528346	0.031109457	1.676047514	446
-0.050344084	0.035024873	1.662795381	447
-0.055216161	0.039084879	1.64693944	448
-0.060113548	0.043265187	1.627921423	449
-0.0650001	0.047536834	1.60535235	450
-0.069838119	0.051868751	1.57905059	451
-0.074625512	0.056255827	1.549749543	452
-0.07938034	0.060709116	1.518452128	453
-0.084126248	0.06524555	1.486045582	454
-0.088897975	0.069892416	1.453397995	455
-0.093740324	0.074686929	1.421315496	456
-0.098699839	0.079669812	1.390412287	457
-0.10383541	0.084893825	1.361282907	458
-0.109217523	0.090423545	1.334471974	459
-0.114929801	0.09633701	1.310480598	460
-0.12104592	0.102706565	1.289507696	461
-0.127537231	0.109518781	1.270600638	462
-0.134348793	0.116735057	1.252714729	463
-0.141399937	0.124290604	1.234767948	464
-0.148593354	0.132101119	1.21575451	465
-0.155835629	0.140080424	1.194912167	466
-0.1631057	0.148203023	1.17217503	467
-0.170415272	0.156471517	1.147722547	468
-0.177770578	0.164883002	1.121672363	469
-0.185182632	0.173438776	1.094163606	470
-0.19265385	0.182132373	1.065282726	471
-0.200156968	0.190929605	1.034977924	472
-0.207657616	0.199789663	1.003222993	473
-0.215098628	0.208650323	0.969955073	474
-0.222427625	0.217454774	0.935219646	475
-0.229588714	0.226144333	0.899120039	476
-0.236561481	0.234697626	0.861952684	477
-0.24333959	0.243110899	0.824075623	478
-0.249916042	0.25138392	0.785836391	479
-0.256277585	0.259514383	0.747549394	480
-0.262422602	0.267515876	0.70954397	481
-0.268363089	0.275420153	0.672150729	482
-0.274132882	0.283285856	0.635703795	483
-0.279745016	0.291154658	0.600429514	484
-0.285242179	0.299103125	0.566566564	485
-0.290646214	0.307190285	0.534253032	486
-0.295949315	0.315447209	0.503532078	487
-0.301125431	0.323887649	0.474393199	488
-0.306157333	0.332536062	0.446824392	489
-0.311016367	0.341405273	0.420780996	490
-0.315712904	0.350551121	0.396256833	491
-0.320292272	0.360069733	0.373263503	492
-0.324814879	0.370077048	0.35179911	493
-0.329364773	0.380719913	0.331857773	494
-0.334028205	0.39215324	0.313407957	495
-0.338854896	0.404494526	0.2963648	496
-0.343784332	0.417730999	0.280546481	497
-0.348678008	0.431746695	0.265731531	498
-0.353452591	0.446478776	0.251770946	499
-0.35796893	0.461777933	0.238496886	500
-0.362154263	0.477558632	0.225809002	501
-0.365998332	0.493800101	0.213656003	502
-0.369539322	0.510534615	0.202015929	503
-0.372821979	0.527795627	0.190867569	504
-0.37587004	0.545579521	0.180178305	505
-0.378735604	0.563916549	0.169931326	506
-0.381445173	0.58279576	0.160099939	507
-0.384013885	0.602185267	0.150657809	508
-0.386478175	0.62208613	0.141592773	509
-0.388831241	0.642434653	0.132882012	510
-0.391064395	0.663168402	0.124510066	511
-0.393092626	0.684101631	0.116445936	512
-0.394824051	0.705037578	0.108668908	513
-0.396113784	0.725687116	0.101155134	514
-0.396836986	0.745797571	0.093897434	515
-0.396863622	0.765111238	0.086895037	516
-0.396152546	0.783550998	0.080170459	517
-0.394699057	0.801135505	0.073750437	518
-0.392500252	0.817915069	0.067656219	519
-0.389521144	0.833897274	0.061897694	520
-0.38573386	0.849120291	0.056481117	521
-0.381120055	0.863655337	0.051409011	522
-0.375664348	0.877588609	0.046679138	523
-0.369348291	0.891001104	0.042284209	524
-0.362162078	0.903988354	0.038213908	525
-0.354099307	0.916639927	0.034454676	526
